ds,yhat,yhat_lower,yhat_upper,series
2020-04-01,89442.02531614143,-1133.8082467540362,174936.20600402114,SriLanka_Total
2020-05-01,74685.70537388186,-25370.65196364508,172003.63119079726,SriLanka_Total
2020-06-01,73632.71607038882,-21213.52335321056,166643.49205699746,SriLanka_Total
2020-07-01,110178.49524938033,20722.209708630864,205533.61013435796,SriLanka_Total
2020-08-01,102883.80304861146,12933.668543073085,196439.33361857253,SriLanka_Total
2020-09-01,91834.85454740335,1979.1937945712523,182931.82353553444,SriLanka_Total
2020-10-01,91518.34471117418,-4802.705405588504,191248.04883944348,SriLanka_Total
2020-11-01,114509.75679364461,20589.76017233954,211668.61519957948,SriLanka_Total
2020-12-01,146329.18360952206,56187.59675071969,243023.0187045296,SriLanka_Total
2021-01-01,163098.4520552454,65861.21101461403,256071.48038247402,SriLanka_Total
2021-02-01,163010.21284636797,67734.52796987623,251373.60075628597,SriLanka_Total
2021-03-01,151907.22606306509,60518.949228757505,239832.29630776416,SriLanka_Total
2021-04-01,99830.38688422747,6084.350941222593,195675.35856911333,SriLanka_Total
2021-05-01,68847.17781940656,-19234.019087988487,161028.82203698417,SriLanka_Total
2021-06-01,74188.26684480105,-18554.99474679067,170063.374197351,SriLanka_Total
2021-07-01,112797.23365786407,18435.93119949477,201242.83234071787,SriLanka_Total
2021-08-01,108088.04433789883,16315.178777008847,202251.6637949514,SriLanka_Total
2021-09-01,88392.2744365755,-10242.52236087483,184333.3001815624,SriLanka_Total
2021-10-01,86913.4376489932,-11932.69593797847,181658.16164497245,SriLanka_Total
2021-11-01,116389.47079377054,28143.511302473,210854.1249449091,SriLanka_Total
2021-12-01,157337.83926752408,67777.75321693868,252371.62515155063,SriLanka_Total
2022-01-01,169233.80571030028,74658.23988964771,262762.4149687215,SriLanka_Total
2022-02-01,169558.86120129222,72312.21459557563,262007.53304384917,SriLanka_Total
2022-03-01,153525.8700457765,55184.31840192172,247979.0834686215,SriLanka_Total
2022-04-01,110554.41133783717,8831.902414396545,201729.52072288143,SriLanka_Total
2022-05-01,62912.794356864884,-37056.9760006467,158216.55525773996,SriLanka_Total
2022-06-01,74789.77767641631,-19318.70631887852,169425.50888215995,SriLanka_Total
2022-07-01,115545.29781467898,18836.82106006466,202290.66132527404,SriLanka_Total
2022-08-01,113316.4881129552,15194.980126213413,202834.95529860022,SriLanka_Total
2022-09-01,85023.91420030991,-8279.081230023241,185795.08958175866,SriLanka_Total
2022-10-01,82533.86978302091,-6983.4028071762,172694.06819302123,SriLanka_Total
2022-11-01,118289.41252831453,25763.33077696317,213315.93668961708,SriLanka_Total
2022-12-01,168330.83774182404,79421.24422311514,271456.00050382194,SriLanka_Total
2023-01-01,175455.68498442095,84720.51150080688,266897.6046200847,SriLanka_Total
2023-02-01,175974.5657331242,80810.64088885931,271045.9528827806,SriLanka_Total
2023-03-01,155363.89670960515,69027.01565333545,246030.92437651052,SriLanka_Total
2023-04-01,121566.39303485444,22306.388867793485,210365.46486171486,SriLanka_Total
2023-05-01,56839.3297286121,-34985.45981651309,146517.62018863452,SriLanka_Total
2023-06-01,75390.50009704336,-16770.376098252967,171681.82207035174,SriLanka_Total
2023-07-01,118376.24497278435,25661.458912334547,214189.96903155782,SriLanka_Total
2023-08-01,118522.97442175899,21848.826173790192,214327.8613374808,SriLanka_Total
2023-09-01,81687.25510261516,-18574.788075788776,169589.4659765755,SriLanka_Total
2023-10-01,78336.28864083935,-23758.26358709486,166204.3874207815,SriLanka_Total
2023-11-01,120164.40748711844,22128.043827058602,216928.9113477149,SriLanka_Total
2023-12-01,179263.10730987645,83380.86166294283,273404.2364368345,SriLanka_Total
2024-01-01,181726.2410103578,85146.18578977973,274773.9042077263,SriLanka_Total
2024-02-01,182225.81327319477,85943.89447261747,273958.6844105878,SriLanka_Total
2024-03-01,160918.78526419186,68444.02679611056,255273.01781519476,SriLanka_Total
2024-04-01,99840.4745907938,5728.455373172344,197117.60500992974,SriLanka_Total
2024-05-01,85098.5126431433,-7310.051732455475,183133.81938503668,SriLanka_Total
2024-06-01,84060.35993403141,-7372.462784394891,184869.44334360168,SriLanka_Total
2024-07-01,120620.08622512736,20853.14535566144,207834.95158889834,SriLanka_Total
2024-08-01,113339.80604020978,17301.908991252018,210933.0891473818,SriLanka_Total
2024-09-01,102305.2695549105,16507.40506345968,198090.8026074473,SriLanka_Total
2024-10-01,102001.18695421485,13067.256810521532,195170.50682675195,SriLanka_Total
2024-11-01,125005.44051332164,28909.000978567146,217395.21169488438,SriLanka_Total
2024-12-01,156837.2945646707,63193.809051652024,254181.05132692753,SriLanka_Total
2025-01-01,173618.2506587321,83234.98409999875,276333.42029630434,SriLanka_Total
2025-02-01,173541.69909810898,86994.88090670896,270662.06998767785,SriLanka_Total
2025-03-01,162449.26890025055,72432.73616841924,248953.4915785664,SriLanka_Total
2025-04-01,110381.9132056974,13525.354294966939,206202.568526337,SriLanka_Total
2025-05-01,79407.88170638474,-18122.8529097039,171600.5904516775,SriLanka_Total
2025-06-01,84758.45421614507,-9147.509217654475,186275.53015095528,SriLanka_Total
2025-07-01,123374.20248028451,25406.254395690852,220589.80315976363,SriLanka_Total
2025-08-01,118672.02065982176,28267.202844642914,215823.4868128762,SriLanka_Total
2025-09-01,98983.25825795476,5213.966157125474,182729.93758829587,SriLanka_Total
2025-10-01,97509.04573168198,6884.006782015063,194958.06328198494,SriLanka_Total
2025-11-01,126989.85727985411,33028.81399896902,218028.31106248774,SriLanka_Total
2025-12-01,167942.85001494898,76819.41707644647,268161.0896311356,SriLanka_Total
2026-01-01,179842.09751519514,84896.16130162354,268479.9951695533,SriLanka_Total
2026-02-01,180170.4340635962,83521.48743128416,273892.09453438246,SriLanka_Total
2026-03-01,164140.40644395634,70030.97231039836,262043.7771632366,SriLanka_Total
2026-04-01,121171.8802727725,29753.24681333007,216437.156477423,SriLanka_Total
2026-05-01,73533.10123069097,-20766.693943397593,166007.4824002394,SriLanka_Total
2026-06-01,85413.01708702807,-8273.479365121415,171280.70029263606,SriLanka_Total
2026-07-01,126171.3243444624,28772.719685923603,219884.39515493467,SriLanka_Total
2026-08-01,123945.39466581054,27062.873247982592,216816.65427396476,SriLanka_Total
2026-09-01,95654.12632435102,-2247.799023320787,185064.50800569388,SriLanka_Total
2026-10-01,93165.34536287647,-971.7073157186325,189755.827926039,SriLanka_Total
2026-11-01,128922.19367928704,34399.17006853739,222370.00613861487,SriLanka_Total
2026-12-01,178964.36020393908,85246.34764584732,273818.3888831337,SriLanka_Total
2027-01-01,186089.97346796014,82759.45919263986,276264.5519354255,SriLanka_Total
2027-02-01,186609.62023812914,96198.0898395908,277259.0134286678,SriLanka_Total
2027-03-01,165998.9590802794,74294.22694703667,262669.69477662176,SriLanka_Total
2027-04-01,132201.4641140338,39871.86228194425,228512.4075571435,SriLanka_Total
2027-05-01,67474.40923536598,-31505.8059935514,159536.9119055927,SriLanka_Total
2027-06-01,86025.5882747769,-10190.99937422028,180037.3213039863,SriLanka_Total
2027-07-01,129011.34154188937,30126.502349151815,223202.7957325874,SriLanka_Total
2027-08-01,129158.07966186682,41478.01334535388,227601.16259885783,SriLanka_Total
2027-09-01,92322.36900702947,-1432.547615991463,188554.3349954141,SriLanka_Total
2027-10-01,88971.41093007618,1012.3070641470704,176445.0327523975,SriLanka_Total
2027-11-01,130799.53844059972,37060.92456038318,227983.47932665265,SriLanka_Total
2027-12-01,189898.23826871338,95615.9807327138,282930.07723500294,SriLanka_Total
2028-01-01,192361.37197467693,102410.85518752047,284436.95338751323,SriLanka_Total
2028-02-01,192860.9442429888,94050.19644603628,284308.33021459845,SriLanka_Total
2028-03-01,171553.91623401386,75870.07767933726,266623.12504207366,SriLanka_Total
2028-04-01,110475.60556070936,5704.031718023203,201408.49088654373,SriLanka_Total
2028-05-01,95733.64361310494,-3599.2063009630724,179587.79721308366,SriLanka_Total
2028-06-01,94695.49090390922,-508.03835410684735,185332.00299867085,SriLanka_Total
2028-07-01,131255.21719496846,42448.57160329557,225165.46428441172,SriLanka_Total
2028-08-01,123974.93701005909,34683.613059217656,219621.98996786508,SriLanka_Total
2028-09-01,112940.40052471473,20253.523156142437,197231.48401908242,SriLanka_Total
2028-10-01,112636.31792407046,22801.189317239034,210897.66316701006,SriLanka_Total
2028-11-01,135640.57148316703,45951.3753466658,230260.65049089803,SriLanka_Total
2028-12-01,167472.42553451858,69698.70950804019,262332.6453596309,SriLanka_Total
2029-01-01,184253.38162851767,88351.28625030206,275361.0345988653,SriLanka_Total
2029-02-01,184176.83006787807,87323.99925728102,275058.735957562,SriLanka_Total
2029-03-01,173084.3998701082,75495.49679468403,263080.7357077307,SriLanka_Total
2029-04-01,121017.04417553807,24113.172555179204,210777.2769290309,SriLanka_Total
2029-05-01,90043.01267620292,166.77869705513558,181185.88691169085,SriLanka_Total
2029-06-01,95393.58518598833,-7281.801682303601,188997.4379959942,SriLanka_Total
2029-07-01,134009.33345011616,45302.17558454603,221066.81622842563,SriLanka_Total
2029-08-01,129307.15162966355,38169.6249725267,217673.74171321862,SriLanka_Total
2029-09-01,109618.38922785567,14760.298781376507,202348.54215679065,SriLanka_Total
