YEAR,REGION,COUNTRY,MONTH,ARRIVALS,HAS_EVENT,Avg_Temperature_C,Avg_Rainfall_mm,MONTH_NUM,MONTH_SIN,MONTH_COS,DATE
2018,America,BOLIVIA,January,6,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,Europe,BOSNIA & HERZEGOVINA,January,20,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,Africa,BOTSWANA,January,9,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,America,BRAZIL,January,226,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,Asia & Oceania,BRUNEI,January,4,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,Europe,BULGARIA,January,277,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,Africa,BURKINA FASO,January,2,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,Africa,BURUNDI ,January,1,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,Asia & Oceania,CAMBODIA,January,85,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,Africa,CAMEROON,January,2,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,America,CANADA,January,5682,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,Africa,CAPE VERDE,January,1,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,Africa,CENTRAL AFRICAN REPUBLIC,January,0,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,Africa,CHAD,January,0,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,America,CHILE,January,99,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,Asia & Oceania,CHINA,January,24275,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,America,COLOMBIA,January,52,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,Africa,COMOROS,January,8,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,Africa,CONGO,January,1,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,Africa,CONGO,January,0,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,America,COSTA RICA,January,9,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,Africa,COTE D'IVOIRE,January,1,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,Europe,CROATIA,January,481,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,America,CUBA,January,3,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,Europe,CYPRUS,January,55,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,Europe,CZECH REPUBLIC,January,2257,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,Europe,DENMARK,January,3013,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
2018,Africa,DJIBOUTI,January,1,1,27.88888888888889,42.22222222222222,1,0.49999999999999994,0.8660254037844387,2018-01-01
